play_team,games,rim_rate,rim_pct,mid_rate,mid_pct,arc_rate,arc_pct,opp_rim_rate,opp_rim_pct,opp_mid_rate,opp_mid_pct,opp_arc_rate,opp_arc_pct
East-West University Phantoms,3,38.5,58.8,36.5,31.6,25.0,25.0,64.6,75.6,21.3,36.9,14.1,27.9
Eastern Illinois Panthers,14,56.3,66.2,29.5,34.7,14.2,30.5,55.5,70.5,22.8,32.8,21.7,30.2
Eastern Kentucky Colonels,15,46.7,66.1,31.5,39.0,21.8,31.3,59.4,68.4,24.4,39.0,16.2,33.9
Eastern Michigan Eagles,16,63.0,64.6,26.6,35.0,10.4,34.1,60.4,64.0,27.3,36.8,12.3,29.0
Eastern Washington Eagles,14,55.4,65.8,28.9,42.1,15.6,32.2,58.0,68.9,25.5,46.6,16.5,35.5
Ecclesia Royals,5,54.6,53.0,30.3,30.6,15.0,25.5,59.6,72.2,20.1,47.3,20.3,39.1
Elon Phoenix,15,57.6,69.7,25.0,38.4,17.5,36.9,55.0,67.2,25.2,38.6,19.8,37.4
Evansville Purple Aces,17,54.8,66.3,32.0,29.7,13.3,35.2,55.4,64.4,32.9,39.4,11.7,36.1
Fairfield Stags,16,55.0,61.4,28.3,39.2,16.7,36.1,61.9,63.1,20.6,39.1,17.5,33.2
Fairleigh Dickinson Knights,15,50.8,61.9,24.9,39.1,24.3,32.7,55.3,66.9,24.9,34.8,19.8,40.2
Fisk Bulldogs,4,45.4,54.3,36.8,24.1,17.8,24.1,57.8,75.7,23.0,27.1,19.2,40.8
Florida A&M Rattlers,11,57.1,63.7,26.4,35.1,16.5,30.8,62.9,71.9,20.5,37.9,16.6,38.1
Florida Atlantic Owls,16,56.9,67.2,22.8,41.8,20.4,35.0,57.9,64.4,25.5,39.9,16.6,32.2
Florida Gators,15,62.8,69.5,26.1,29.1,11.1,28.7,59.4,60.4,31.4,35.1,9.2,33.3
Florida Gulf Coast Eagles,15,51.5,64.6,31.8,38.4,16.7,36.8,57.9,67.1,27.0,36.6,15.1,33.0
Florida International Panthers,15,63.5,67.4,23.1,36.9,13.4,38.7,55.1,67.5,27.6,32.7,17.3,33.8
Florida St. Seminoles,15,53.5,65.6,22.1,37.1,24.4,30.7,57.5,68.2,24.0,34.7,18.5,37.3
Fordham Rams,16,52.0,65.8,32.8,37.9,15.2,30.2,47.2,60.4,39.0,40.1,13.7,30.0
Fort Lauderdale Eagles,3,54.4,57.4,32.0,26.2,13.6,29.4,59.0,64.7,21.9,42.9,19.1,34.5
