Team,Games,Record,WinPct,RawOffEff,RawDefEff,RawNetEff,AvgTempo,OffEffStd,DefEffStd,AvgPointsFor,AvgPointsAgainst,AvgMargin,RawRank
Cornell Big Red,13,5-8,0.38461538461538464,101.35920016375734,102.81174000718285,-1.4525398434255146,88.37792642140468,9.226021518299374,14.842249419666489,89.76923076923077,91.0,-1.2307692307692308,196.0
Valparaiso Beacons,16,7-9,0.4375,91.42896644669584,92.97381133108195,-1.5448448843861158,77.01086956521739,10.441031047715807,10.756832382035585,70.125,71.9375,-1.8125,197.0
Long Island University Sharks,17,10-7,0.5882352941176471,92.74801488792207,94.38924001403873,-1.6412251261166844,81.29795396419436,10.043595125169634,9.588861376330636,75.3529411764706,77.05882352941177,-1.7058823529411764,198.0
UIC Flames,15,5-10,0.3333333333333333,91.52498544696596,93.20094047895999,-1.675955031993999,78.70289855072464,6.153773984858537,6.471016585637112,72.0,73.46666666666667,-1.4666666666666666,199.0
Marquette Golden Eagles,17,6-11,0.35294117647058826,92.4199296574152,94.16830563670246,-1.7483759792872546,80.79923273657289,11.551850062451685,11.784910670114224,74.6470588235294,76.3529411764706,-1.7058823529411764,200.0
Lamar Cardinals,14,6-8,0.42857142857142855,91.14650097292566,92.96461013818544,-1.8181091652597579,74.63509316770185,7.827574427046811,7.839147293281936,67.78571428571429,69.64285714285714,-1.8571428571428572,201.0
Washington State Cougars,17,7-10,0.4117647058823529,92.36627214844567,94.19581935482232,-1.8295472063766254,80.1086956521739,8.414651461995698,8.31620457290443,74.29411764705883,75.41176470588235,-1.1176470588235294,202.0
Southeast Missouri State Redhawks,14,6-8,0.42857142857142855,91.79752099356747,93.64692345087697,-1.8494024573094612,82.79503105590061,9.214522603356361,9.411869372953818,75.64285714285714,78.0,-2.357142857142857,203.0
Central Connecticut Blue Devils,13,7-6,0.5384615384615384,92.98650126253885,95.15025087421328,-2.1637496116744255,76.36287625418059,12.072780196270719,11.229264005960465,71.3076923076923,72.92307692307692,-1.6153846153846154,204.0
Wofford Terriers,15,9-6,0.6,94.50415115397217,96.68103403121303,-2.176882877240855,82.57246376811594,12.300790788657823,12.113540361712438,78.6,79.8,-1.2,205.0
North Carolina A&T Aggies,13,5-8,0.38461538461538464,90.87505419992317,93.12494580007683,-2.249891600153648,80.97826086956522,8.020962708016036,8.020962708016038,73.38461538461539,75.61538461538461,-2.230769230769231,206.0
Indiana State Sycamores,15,6-9,0.4,92.48924640581778,94.75519803862667,-2.2659516328088602,78.15942028985506,10.616383889584947,11.877462424648902,71.86666666666666,74.86666666666666,-3.0,207.0
App State Mountaineers,16,8-8,0.5,90.97159040170521,93.2645207094059,-2.2929303077006926,74.2391304347826,10.377266629720076,10.44361200431947,67.4375,69.375,-1.9375,208.0
Saint Peter's Peacocks,12,6-6,0.5,91.31372707414157,93.6492358888214,-2.3355088146798324,74.6195652173913,12.150788394330696,11.554908760329363,67.91666666666667,70.25,-2.3333333333333335,209.0
Saint Joseph's Hawks,14,7-7,0.5,92.9711018674411,95.4098505135113,-2.4387486460702053,78.33074534161491,9.664026981115228,11.214373380543421,72.85714285714286,75.21428571428571,-2.357142857142857,210.0
Eastern Michigan Eagles,16,7-9,0.4375,91.72624278153498,94.34320166290948,-2.6169588813745084,76.84103260869566,12.597208428277835,12.087787715557486,70.25,73.0,-2.75,211.0
Dartmouth Big Green,13,6-7,0.46153846153846156,92.0976598577415,94.9108871508055,-2.813227293064007,81.47157190635451,12.296450805573668,11.037567847750749,75.23076923076923,77.38461538461539,-2.1538461538461537,212.0
Florida Gulf Coast Eagles,15,5-10,0.3333333333333333,94.9065615456317,97.81936438029422,-2.9128028346625117,84.60869565217392,9.89535520288826,13.190288844458307,80.26666666666667,83.26666666666667,-3.0,213.0
Incarnate Word Cardinals,13,5-8,0.38461538461538464,90.93655989674888,93.84976488957591,-2.9132049928270223,79.29765886287625,9.107591533975388,9.232565571563347,72.15384615384616,74.46153846153847,-2.3076923076923075,214.0
Ohio Bobcats,15,8-7,0.5333333333333333,92.25063342015902,95.26047769095209,-3.009844270793084,81.97826086956522,9.05236574778351,10.495064919311616,75.73333333333333,78.26666666666667,-2.533333333333333,215.0
James Madison Dukes,16,8-8,0.5,91.6954964494365,94.74894799500794,-3.0534515455714297,81.92255434782608,6.412733729398556,8.293549353747048,75.125,77.8125,-2.6875,216.0
Jacksonville State Gamecocks,13,5-8,0.38461538461538464,90.65745653084151,93.71861184522687,-3.061155314385338,75.35953177257524,5.538096560964518,5.669164449103405,68.53846153846153,70.46153846153847,-1.9230769230769231,217.0
Louisiana Tech Bulldogs,13,6-7,0.46153846153846156,90.43301956947525,93.56698043052477,-3.133960861049487,70.44314381270902,13.034484356574822,13.03448435657482,63.61538461538461,66.0,-2.3846153846153846,218.0
Tennessee State Tigers,13,7-6,0.5384615384615384,91.16571758107199,94.47530805995365,-3.309590478881653,82.01505016722408,8.878558437122994,9.765913528882065,74.92307692307692,77.46153846153847,-2.5384615384615383,219.0
