play_team,rim_rate,games,opp_rim_rate,avg_dist_allowed
Maryland Terrapins,25.48330404217926,6,19.22110552763819,11.66889580861939
Massachusetts Minutemen,22.0532319391635,6,31.44963144963145,9.921576859040075
McNeese Cowboys,24.750830564784053,6,15.108834827144687,11.462316121508296
Memphis Tigers,18.627450980392158,7,15.019762845849801,11.164237897905194
Mercer Bears,17.77150916784203,5,20.082530949105916,11.881461441995018
Mercyhurst Lakers,22.25609756097561,3,22.05128205128205,10.758763149000695
Merrimack Warriors,24.735915492957748,3,14.529914529914532,10.633620891412455
Miami (OH) RedHawks,19.271623672230653,4,23.72583479789104,10.998032821927108
Miami Hurricanes,20.243902439024392,8,21.311475409836063,10.415127285652273
Michigan State Spartans,21.923076923076923,6,19.101123595505616,11.385919197537754
Michigan Wolverines,24.06015037593985,7,18.66791744840525,12.039325518284842
Middle Tennessee Blue Raiders,18.491484184914842,7,18.670576735092865,10.931182732568473
Milwaukee Panthers,21.95467422096317,4,23.18840579710145,11.022706228893846
Minnesota Golden Gophers,19.31216931216931,7,19.56271576524741,10.981054536019464
Mississippi State Bulldogs,22.393162393162395,6,15.701559020044542,11.651625804287217
Mississippi Valley State Delta Devils,15.021008403361344,3,20.574162679425836,11.69969091679267
Missouri State Bears,21.85929648241206,7,16.64899257688229,11.100775933363112
Missouri Tigers,19.622641509433965,9,24.979253112033195,11.086932266656063
Monmouth Hawks,22.15799614643545,4,20.46678635547576,10.497314670987286
Montana Grizzlies,26.508226691042047,7,14.989733059548255,10.869013200741417
Montana State Bobcats,26.673751328374067,4,27.08757637474542,11.813937278162042
Morehead State Eagles,18.374558303886925,2,18.79432624113475,10.080591112408888
Morgan State Bears,15.136476426799009,6,25.557011795543904,11.041247626761738
Mount St. Mary's Mountaineers,16.933207902163687,3,18.84422110552764,11.829611362090022
Murray State Racers,29.23898531375167,5,20.11577424023155,10.921506607257726
NC State Wolfpack,21.784776902887142,7,23.681489141675286,12.2774410184239
NJIT Highlanders,18.65942028985507,4,23.800738007380073,11.816897296033735
Navy Midshipmen,21.394611727416798,5,23.333333333333332,10.755855919459254
Nebraska Cornhuskers,24.014336917562723,8,20.852221214868543,12.792239347720058
Nevada Wolf Pack,21.93211488250653,8,19.083969465648856,11.084875740471913
New Hampshire Wildcats,23.92638036809816,5,30.472103004291846,10.337944840105587
New Haven Chargers,20.082815734989648,6,21.55059132720105,11.370575563363696
New Mexico Lobos,17.760617760617762,9,23.452768729641694,12.469960394838752
New Mexico State Aggies,13.812154696132598,5,16.934306569343065,11.58795053146487
New Orleans Privateers,19.581056466302368,2,19.923371647509576,10.69973836487176
Niagara Purple Eagles,19.02834008097166,2,23.651452282157674,11.42096103241384
Nicholls Colonels,19.144602851323828,3,22.42562929061785,10.22325143620892
Norfolk State Spartans,18.829516539440203,4,22.22222222222222,11.35504801937492
North Alabama Lions,16.645962732919255,4,24.236641221374043,10.941906113005258
North Carolina A&T Aggies,19.109663409337678,3,9.975669099756692,10.95219657558477
North Carolina Central Eagles,19.104803493449783,5,28.870292887029287,9.997241868008398
North Carolina Tar Heels,25.0,9,21.857485988791034,11.233292760519289
North Dakota Fighting Hawks,22.29199372056515,7,22.653061224489797,10.677273527524608
North Dakota State Bison,19.77886977886978,6,22.062350119904075,10.727149456356086
North Florida Ospreys,27.22029988465975,4,26.758147512864493,11.424085477255245
North Texas Mean Green,20.219435736677116,6,23.52941176470588,10.218691912540304
Northeastern Huskies,24.124513618677042,2,26.356589147286826,10.66495777202938
