Date,Visitor,Home,V_Score,H_Score,Predicted_Spread,Market_Spread,Spread_Edge,Predicted_Total,Market_Total,Total_Edge,Bet_Signals
2025-12-30,Gonzaga,San Diego,110.8,74.7,-36.1,29.5,6.6,163.9,162.5,1.4,SPREAD Gonzaga -29.5 (5.0%)
2025-12-30,Pacific,Loyola Marymount,65.2,71.8,6.6,-5.5,1.1,137.0,137.5,0.5,
2025-12-30,San Diego St.,San Jose St.,73.7,64.2,-9.5,10.5,1.0,137.7,143.5,5.8,TOTAL UNDER 143.5 (5.0%)
2025-12-30,San Francisco,Oregon St.,73.4,72.9,-0.6,4.5,3.9,142.0,143.5,1.5,SPREAD Oregon St. +4.5 (0.0%)
2025-12-30,Santa Clara,Portland,87.3,73.2,-14.1,13.5,0.6,154.5,156.5,2.0,
2025-12-30,Washington St.,Seattle,75.8,75.4,-0.3,4.5,4.2,150.9,142.5,8.4,TOTAL OVER 142.5 (5.0%); SPREAD Seattle +4.5 (0.0%)
2025-12-30,New Mexico,Boise St.,77.1,75.1,-2.0,-5.5,7.5,149.5,147.5,2.0,SPREAD New Mexico +5.5 (5.0%)
2025-12-30,Vermont,Princeton,62.1,67.2,5.1,-3.5,1.6,129.4,137.5,8.1,TOTAL UNDER 137.5 (5.0%)
2025-12-30,Ohio,Central Michigan,75.2,81.9,6.7,5.5,12.2,154.9,149.5,5.4,TOTAL OVER 149.5 (5.0%); SPREAD Central Michigan +5.5 (5.0%)
2025-12-30,Southeastern Louisiana,Incarnate Word,72.1,73.2,1.1,-8.5,7.4,142.3,139.5,2.8,SPREAD Southeastern Louisiana +8.5 (5.0%)
2025-12-30,Wyoming,Air Force,63.3,62.6,-0.7,12.5,11.8,125.9,144.5,18.6,TOTAL UNDER 144.5 (5.0%); SPREAD Air Force +12.5 (5.0%)
2025-12-30,Howard,Northwestern,68.0,96.9,28.9,-20.5,8.4,149.2,145.5,3.7,TOTAL OVER 145.5 (5.0%); SPREAD Northwestern -20.5 (5.0%)
2025-12-30,Albany,South Carolina,64.7,79.1,14.3,-19.5,5.2,144.5,147.5,3.0,TOTAL UNDER 147.5 (5.0%); SPREAD Albany +19.5 (5.0%)
2025-12-30,East Tennessee St.,The Citadel,73.0,60.3,-12.8,12.5,0.3,133.7,145.5,11.8,TOTAL UNDER 145.5 (5.0%)
2025-12-30,Western Michigan,Toledo,80.2,83.9,3.8,-10.5,6.7,151.2,165.5,14.3,TOTAL UNDER 165.5 (3.2%); SPREAD Western Michigan +10.5 (5.0%)
2025-12-30,Duquesne,Davidson,74.1,67.5,-6.6,-3.5,10.1,141.0,152.5,11.5,TOTAL UNDER 152.5 (5.0%); SPREAD Duquesne +3.5 (5.0%)
2025-12-30,Florida State,North Carolina,77.9,82.7,4.9,-14.5,9.6,160.1,161.5,1.4,SPREAD Florida State +14.5 (5.0%)
2025-12-30,Miami OH,Bowling Green,79.7,71.7,-8.0,-5.5,13.5,152.0,154.5,2.5,SPREAD Miami OH +5.5 (5.0%)
2025-12-30,Milwaukee,Wisconsin,73.4,83.7,10.3,-21.5,11.2,152.8,156.5,3.7,SPREAD Milwaukee +21.5 (5.0%)
2025-12-30,Pittsburgh,Miami FL,85.3,75.1,-10.2,-10.5,20.7,146.6,146.5,0.1,SPREAD Pittsburgh +10.5 (5.0%)
2025-12-30,Seton Hall,Marquette,64.5,76.5,12.0,-2.5,9.5,141.5,141.5,0.0,SPREAD Marquette -2.5 (5.0%)
2025-12-30,Temple,Charlotte,77.7,73.1,-4.6,-1.5,6.1,146.0,143.5,2.5,SPREAD Temple +1.5 (5.0%)
2025-12-30,UMass,Eastern Michigan,77.7,79.9,2.1,1.5,3.6,151.2,147.5,3.7,TOTAL OVER 147.5 (5.0%); SPREAD Eastern Michigan +1.5 (5.0%)
2025-12-30,South Carolina St.,Tennessee,61.7,89.2,27.4,-45.5,18.1,141.9,146.5,4.6,SPREAD South Carolina St. +45.5 (5.0%)
2025-12-30,Tennessee St.,Tennessee Tech,77.1,66.9,-10.2,-3.5,13.7,144.1,152.5,8.4,TOTAL UNDER 152.5 (5.0%); SPREAD Tennessee St. +3.5 (5.0%)
2025-12-30,Louisville,California,84.1,73.5,-10.5,7.5,3.0,152.6,159.5,6.9,TOTAL UNDER 159.5 (5.0%); SPREAD Louisville -7.5 (5.0%)
